Cutting_Speed_m_per_min,Feed_Rate_mm_per_rev,Depth_of_Cut_mm,Spindle_Load_%,Material type,Operation time,Coolant_Flow_LPM,Ambient_Temp_C,Tool_Wear_mm,machine type,energyusage
218.5430535,0.225876282,1.38235785,43.7086107,Copper,35.27163474,33.3734514,21.11582313,0.01,E,1.527
477.8214379,0.5648059,1.310196115,95.56428758,Aluminium,40.85066287,31.09197979,21.47746324,0.01,A,1.243
379.3972738,0.879298544,4.540647445,75.87945476,Copper,16.27105545,21.6540176,24.28123368,0.01,E,1.577
319.3963179,0.745613642,1.322776379,63.87926358,Titanium,33.11933448,5.825227505,21.95707752,0.015433204,D,1.461
120.2083882,0.81623309,1.432553658,24.04167764,Copper,30.72856924,10.74304338,20.27849778,0.014561976,E,1.678
120.1975342,0.675844198,3.821051486,24.03950683,Brass,42.47736696,38.94040955,28.0501488,0.01,B,0.908
76.13762548,0.707662736,2.303725228,15.2275251,Steel,45.77391772,26.2193057,20.19522571,0.01,C,1.684
439.7792656,0.856735869,3.905881729,87.95585312,Steel,5.547054716,11.74271604,28.30689605,0.012317492,C,0.978
320.5017553,0.287184608,0.420294172,64.10035106,Copper,35.33089636,16.87823844,21.44103963,0.013454944,E,1.388
368.63266,0.514953715,2.489098849,73.726532,Titanium,7.33261096,47.65266049,29.74678411,0.01,D,1.668
59.26302243,0.26014897,0.264706641,11.85260449,Aluminium,29.69863993,21.52097759,26.03873912,0.01528519,A,1.843
486.4594335,0.988284608,0.407000697,97.29188669,Copper,17.94347281,45.84568753,27.34982972,0.013016782,E,0.945
424.5991884,0.946856373,4.541543521,84.91983767,Aluminium,18.80494698,18.70861245,21.10483628,0.01,A,1.047
145.5525998,0.087455471,0.782302318,29.11051996,Titanium,20.88313266,29.44490425,28.62104073,0.010915422,D,1.244
131.8212352,0.720296414,2.708861343,26.36424705,Copper,32.95816021,5.921468751,28.39192343,0.011062935,E,1.24
132.5320294,0.928985902,2.114368453,26.50640589,Titanium,20.03224846,28.48437997,26.52992732,0.017745723,D,1.149
186.9090093,0.221546578,1.801982299,37.38180187,Copper,37.97145728,33.66239048,25.02274865,0.018124941,E,1.901
286.1403942,0.589547969,4.509183394,57.22807885,Steel,23.20373235,15.54372947,27.21489173,0.01,C,1.062
