Air_pressure_bar,Flow_rate_lpm,Valve_status,Cylinder_position_mm,Leakage_rate_lpm,Noise_level_dB,Load_pressure_bar,Cycle_time_s,Ambient_temperature_C,System_vibration_mm_s2
4.253762972,36.45734445,Open,172.7231929,0.114741534,64.10031908,4.654601035,1.230314497,23.65854737,0.713343165
4.862533091,31.5350153,Closed,380.6357148,0.090213751,62.49015533,4.646246634,1.809462197,22.3097009,0.986174658
5.499257616,31.45866363,Open,477.1156787,0.126898798,65.86975632,5.123613696,1.534207899,22.57860927,0.85111194
4.857181233,31.07055491,Closed,185.7169753,0.052356948,65.26456446,5.1986767,1.526735768,24.28366186,0.971458301
4.85281633,32.44565278,Open,414.7001101,0.057766137,64.90067874,4.950312645,1.160736753,20.52172688,0.396741138
4.915172202,30.27585319,Closed,95.39613274,0.103086734,66.65056545,4.956676945,1.571748278,21.56005983,0.863099362
4.663730908,29.99695759,Open,403.5898851,0.108659882,63.28066871,4.683928999,1.731484389,25.26921102,0.930772901
4.488567277,35.9831356,Closed,328.7470296,0.008719241,63.05365732,5.189465697,1.729895412,21.60637775,0.529840515
5.315764193,37.5805809,Open,96.37175361,0.122757319,70.52049316,4.853539251,1.633666646,19.46532607,0.972411518
4.447118928,22.46223528,Open,151.2519802,0.138636419,67.23742164,4.970622053,1.274102884,20.66128781,0.777696221
5.074181436,30.05010576,Open,65.8854443,0.096135738,68.30778424,4.778895012,1.562624683,20.1236403,1.41426734
5.265973848,26.55652783,Closed,191.4835055,0.218723314,69.90441834,4.746393483,1.633516992,22.71432517,0.364552786
4.56463211,28.44514267,Closed,101.8243206,0.065853245,67.10377672,5.132608452,1.141111283,20.20810599,1.073822874
4.722719479,32.01258105,Closed,321.9989768,0.081945642,68.71355472,4.907944736,1.275744082,22.54206851,0.721168381
5.363953757,33.34719186,Open,497.2525521,0.080246655,58.68261935,5.090275092,1.677631464,20.52786956,0.476569657
5.159867516,29.43936778,Closed,6.004581542,0.096190619,65.81661549,4.851065634,1.675209155,17.75324292,0.694608971
4.814814288,20.43329833,Open,270.4599066,0.083563759,64.26912615,4.630326693,1.190283393,22.61323957,0.855495848
5.360674701,25.1747721,Open,286.8332988,0.029659473,71.71073636,4.683331413,1.659004292,22.29692736,1.007493334
5.361960717,34.48249835,Open,457.1043948,0.072672585,68.71058213,4.820593048,1.51906068,23.03551563,1.144392858
5.080715808,16.29786789,Closed,253.0026674,0.095118965,62.47821924,4.674699957,1.656201791,20.65402556,1.084378618
4.729951932,35.93713576,Open,271.8507098,0.161428604,66.49117663,4.578507718,1.373095735,20.44091105,0.606923596
4.875965389,32.60614995,Closed,235.8264007,0.210112164,65.67072533,5.040283406,1.629036699,22.80293372,1.026032938
5.085916023,36.58088041,Closed,134.4521523,0.166773695,66.81732573,4.691025986,1.668765755,25.03803915,0.878256991
4.943421551,29.00715407,Open,28.01456662,0.061231049,60.92463012,4.82763855,1.429733013,22.02233602,0.669079396
5.281687153,19.69297288,Closed,204.3288411,0.065209519,66.44006586,4.859226718,1.503550509,22.84917019,0.757617881
4.541067776,32.15181321,Open,26.29573562,0.092033571,64.0873946,4.682369375,1.370295674,21.35682463,0.658031468
4.551720941,36.37326562,Open,275.2462347,0.189227944,66.12979906,5.090159893,1.83032779,18.91273896,0.807418468
5.054261333,34.62360903,Closed,153.6468216,0.091728797,62.10245934,4.576571648,1.475945612,23.93485884,0.654068424
4.852536676,26.68654258,Open,266.8012008,0.033624625,62.65974731,4.852325053,1.315595135,23.81682848,0.594401185
4.811885416,30.43380538,Open,67.1484822,0.074941143,69.69536808,4.849223541,1.356834817,23.42154805,0.895823826
4.469582984,27.33581866,Open,466.3149829,0.1378528,60.79380977,4.789149079,1.52535412,21.63610912,0.92574611
5.005863753,25.90366768,Closed,447.2606218,0.134497014,61.0889824,4.540617477,1.650666234,23.1941122,0.7624806
4.984173468,34.77694286,Closed,94.9982546,0.089989167,64.79367497,4.97416351,1.232834631,23.78752359,1.073530261
5.196043695,24.01233844,Closed,171.7221416,0.134170734,61.9124385,4.948702134,1.869532001,25.24031737,0.747913883
5.02067184,25.53091785,Open,306.7463859,0.01365861,61.45988547,4.664886294,1.561735059,23.97705221,0.739445091
4.960218777,24.47987183,Open,47.84310365,0.105191462,65.42030388,4.941497441,1.593291195,22.12764245,0.932097796
5.353100191,22.54876238,Closed,177.2839106,0.143034271,58.97973657,4.874981537,1.480562091,19.38349349,0.773514883
4.606259809,30.73207146,Closed,125.5561434,0.058356836,60.96815106,4.543877571,1.503851793,22.3113166,0.816959546
5.160916766,35.80751524,Closed,457.7583644,0.058183073,73.21638233,4.629214217,1.470343372,22.51315479,0.295912306
4.498655851,29.07561622,Closed,426.2553181,0.006677592,66.83790024,5.027656289,1.703559194,23.41805955,0.803341477
4.748491436,22.471261,Closed,289.9163706,0.17949478,62.01374659,4.861883237,1.498414283,24.70778372,0.434560813
4.63620286,34.1997227,Open,260.1731684,0.063992301,66.67286031,4.687139411,1.653410044,21.80969898,0.555809886
5.234582761,38.42850877,Closed,465.3628973,0.112052164,67.26932191,4.628304822,1.413230495,26.20197438,0.532935492
4.98037693,26.76878838,Open,466.2138915,0.130195852,68.97765768,4.69692124,1.539128106,18.48142596,0.591483369
